spanish	english	pos	cefr	tags
a	to, at	prep	A1.1	glue
a veces	sometimes	phrase	A1.1	MWU|time
abajo	down	adv	A1.1	
abajo	downstairs	verb	A1.1	home
abogado	lawyer	noun	A1.1	education
abril	April	noun	A1.1	
abrir	to open	verb	A1.1	tech
abuela	grandmother	noun	A1.1	society
abuelo	grandfather, grandmother	noun	A1.1	society
aburrido	bored, boring	adj	A1.1	education|health|media
adentro	inside	adv	A1.1	home
adiós	goodbye	interj	A1.1	society
afuera	outside	adv	A1.1	home
agosto	August	noun	A1.1	
agradecer	to thank	verb	A1.1	comparison|society
agua	water	noun	A1.1	food|nature
ahora	now	adv	A1.1	time
ahí	there	adv	A1.1	
alemana	German - nationality	noun	A1.1	
Alemania	Germany	noun	A1.1	countries
alemán	German - language, German	pron	A1.1	countries
allá	over there	adv	A1.1	
allí	there	adv	A1.1	
almuerzo	lunch	noun	A1.1	food
alta	tall	noun	A1.1	
alto	tall	adj	A1.1	health
amar	to love	verb	A1.1	society
amarilla	yellow	noun	A1.1	
amarillo	yellow	adj	A1.1	colors
americana	American	noun	A1.1	
animal	animal	noun	A1.1	nature
antes	before	adv	A1.1	time
apartamento	apartment	adv	A1.1	home
apellido	surname, last name	noun	A1.1	
aquí	here	adv	A1.1	
Argentina	Argentina	noun	A1.1	countries
argentino	Argentinian	pron	A1.1	countries
arriba	up	adv	A1.1	
arriba	upstairs	verb	A1.1	home
asustado	scared	adj	A1.1	health
auto	car, court order	noun	A1.1	
autobús	bus	noun	A1.1	travel
avión	airplane	noun	A1.1	nature|travel
ayer	yesterday	verb	A1.1	time
ayudar	to help	verb	A1.1	society|work
azul	blue	adj	A1.1	colors
año	year	noun	A1.1	health|time
años	years	noun	A1.1	
baile	dance	noun	A1.1	media
baja	short	adj	A1.1	
bajar	to get off, to go down	verb	A1.1	travel
bajo	under, short	prep	A1.1	glue|health
banco	bank	noun	A1.1	finance|work
bañarse	to bathe	verb	A1.1	home|reflexive
baño	bathroom	noun	A1.1	home
beber	to drink	verb	A1.1	food
bebé	baby	noun	A1.1	society
bicicleta	bicycle	noun	A1.1	travel
bien	well, fine	adv	A1.1	society
blanca	white	noun	A1.1	
blanco	white	adj	A1.1	colors
boleto	ticket	noun	A1.1	travel
bolígrafo	pen	noun	A1.1	education
bonita	pretty	noun	A1.1	
bonito	pretty	adj	A1.1	health
Brasil	Brazil	noun	A1.1	countries
brasileño	Brazilian	pron	A1.1	countries
brillar	to shine	verb	A1.1	nature
buena	good	adj	A1.1	
buenas noches	good night, good evening, night	phrase	A1.1	MWU|society
buenas tardes	good afternoon	phrase	A1.1	MWU|glue|society|time
bueno	good	adj	A1.1	education|food
buenos	good	adj	A1.1	
buenos días	good morning	phrase	A1.1	MWU|glue|society
básquetbol	basketball	noun	A1.1	media|sports
café	coffee, brown	adj	A1.1	colors
café	coffee, café	noun	A1.1	food
caliente	hot	adj	A1.1	food|nature
calle	street	noun	A1.1	nature
calor	heat	noun	A1.1	nature
cama	bed	noun	A1.1	home
caminar	to walk	verb	A1.1	media|travel
camiseta	t-shirt	noun	A1.1	
camión	truck	noun	A1.1	travel
canadiense	Canadian	pron	A1.1	countries|reflexive
Canadá	Canada	noun	A1.1	countries
carne	meat	noun	A1.1	food
carro	car	noun	A1.1	travel
casa	house	noun	A1.1	home
casado	married	adj	A1.1	society
catorce	fourteen	num	A1.1	
celular	mobile phone, cell phone	verb	A1.1	tech
cena	dinner	noun	A1.1	food
centro	center, downtown	noun	A1.1	
cerca	near, close	adv	A1.1	health
cero	zero	num	A1.1	
cerrar	to close	verb	A1.1	tech
cerveza	beer	noun	A1.1	food
China	China	noun	A1.1	countries
chino	Chinese	pron	A1.1	countries
cien	one hundred	num	A1.1	
cinco	five	num	A1.1	
cincuenta	fifty	num	A1.1	
cinturón	belt	noun	A1.1	
ciudad	city	noun	A1.1	
clima	climate	noun	A1.1	nature
cocina	kitchen, stove	noun	A1.1	food|home
cocinero	cook, chef	noun	A1.1	education|food
color	color	noun	A1.1	colors
comenzar	to begin	verb	A1.1	
comer	to eat	verb	A1.1	food
comida	food, meal	noun	A1.1	food
compañero	coworker	noun	A1.1	education|work
comprar	to buy	verb	A1.1	work
computadora	computer	noun	A1.1	home|tech|work
con	with	prep	A1.1	glue
con permiso	excuse me (to pass)	interj	A1.1	MWU|society
conversar	to converse	verb	A1.1	society
correo electrónico	email	phrase	A1.1	MWU|tech|work
corto	short	adj	A1.1	travel
cuaderno	notebook	noun	A1.1	education
cuando	when	conj	A1.1	glue
cuarenta	forty	num	A1.1	
cuatro	four	num	A1.1	
cuello	neck	noun	A1.1	health
cuerpo	body	noun	A1.1	health
cuidar	to take care of	verb	A1.1	society
cumpleaños	birthday	noun	A1.1	
cumplir	to turn (age)	verb	A1.1	
cuándo	when	noun	A1.1	nature
cuánta	how much	noun	A1.1	
cuántas	how many	noun	A1.1	
cómo	how	noun	A1.1	
cómodo	comfortable	adj	A1.1	home|travel
dar	to give	verb	A1.1	
de	of, from	prep	A1.1	glue
de nada	you're welcome	interj	A1.1	MWU|society
delgado	thin	adj	A1.1	health
delicioso	delicious	adj	A1.1	food
demasiado	too much, too many	adv	A1.1	
dentro	inside	adv	A1.1	
departamento	apartment	adv	A1.1	home
deporte	sport	noun	A1.1	media
derecha	right	adv	A1.1	
desayuno	breakfast	adj	A1.1	food
descansar	to rest	verb	A1.1	health|media
despedirse	to say goodbye	verb	A1.1	reflexive|society
despertarse	to wake up	verb	A1.1	home|reflexive
después	after	adv	A1.1	time
diciembre	December	noun	A1.1	
diez	ten	num	A1.1	
difícil	difficult, hard	adj	A1.1	education|tech
dinero	money	noun	A1.1	finance
dirección	address	noun	A1.1	
directamente	directly	adv	A1.1	travel
disculpa	excuse me (informal)	interj	A1.1	society
disculpe	excuse me (formal)	interj	A1.1	society
diversión	fun	noun	A1.1	media
divertido	fun, funny	adj	A1.1	media|travel
divorciado	divorced	adj	A1.1	society
doce	twelve	num	A1.1	
doctor	doctor	noun	A1.1	education|health
doler	to hurt	verb	A1.1	health
domingo	Sunday	noun	A1.1	time
dos	two	num	A1.1	
dulce	sweet	adj	A1.1	food
durar	to last	verb	A1.1	time
día	day	noun	A1.1	time
dólar	dollar	verb	A1.1	finance
dónde	where	adv	A1.1	
edad	age	noun	A1.1	
el	the - masculine, the (masculine), the one who, that, which	det	A1.1	philosophy
elegante	elegant	adj	A1.1	media
ella	she, her (after preposition)	pron	A1.1	time
ellas	they	pron	A1.1	
ellos	they, them (after preposition)	pron	A1.1	time
email	email	noun	A1.1	tech
emocionado	excited	adj	A1.1	health
emocionante	exciting	adj	A1.1	media|travel
empezar	to start	verb	A1.1	time|work
empleo	job	noun	A1.1	education|work
en	in, on, at	prep	A1.1	glue
enero	January	noun	A1.1	
enfermera	nurse	noun	A1.1	
enfermero	nurse	noun	A1.1	education|health
entrar	to enter	verb	A1.1	
escribir	to write	verb	A1.1	education|media
escuchar	to listen	verb	A1.1	education|media
escuela	school	noun	A1.1	education|work
ese	that	det	A1.1	reflexive
esos	those	det	A1.1	
España	Spain	noun	A1.1	countries|health
español	Spanish - language, Spanish	pron	A1.1	countries
española	Spanish - nationality	noun	A1.1	
esperar	to wait, to hope	verb	A1.1	time
esposo	husband, wife	noun	A1.1	society
Estados Unidos	United States	phrase	A1.1	MWU|countries
estadounidense	American (US)	pron	A1.1	countries|reflexive
estar	to be - location, condition, to be (temporary, location), to be (location)	verb	A1.1	
este	this	det	A1.1	
estos	these	det	A1.1	
estudiante	student	noun	A1.1	education
estudiar	to study	verb	A1.1	education|philosophy|tech
estufa	stove	noun	A1.1	home
euro	euro	noun	A1.1	finance
familia	family	noun	A1.1	society
fea	ugly	adj	A1.1	
febrero	February	noun	A1.1	
feo	ugly	adj	A1.1	health|media
francesa	French - nationality	noun	A1.1	
Francia	France	noun	A1.1	countries
francés	French - language, French	pron	A1.1	countries
frecuentemente	frequently	adv	A1.1	media|time
fresco	fresh, cool	adj	A1.1	food|nature
fruta	fruit	noun	A1.1	food
frío	cold	adj	A1.1	food|nature
fuera	outside	adv	A1.1	
fácil	easy	adj	A1.1	education|tech
fútbol	soccer	noun	A1.1	media
gato	cat	noun	A1.1	
gordo	fat	adj	A1.1	health
gracias	thank you	interj	A1.1	comparison|society
grande	big, large	adj	A1.1	home
gris	gray	adj	A1.1	colors
guapo	handsome, beautiful	adj	A1.1	health
guitarra	guitar	noun	A1.1	media
gustar	to like	verb	A1.1	
hablar	to speak, to talk	verb	A1.1	education|society
hacer	to do, make, to make	verb	A1.1	food|work
hamburguesa	hamburger	noun	A1.1	food
hasta luego	see you later	phrase	A1.1	MWU|society|time
hasta mañana	see you tomorrow	phrase	A1.1	MWU|glue|society|time
hermana	sister	noun	A1.1	society
hermano	brother, sister	noun	A1.1	society
hija	daughter	noun	A1.1	society
hijo	son, daughter	noun	A1.1	society
hogar	home	verb	A1.1	home
hola	hello	interj	A1.1	society
hombre	man	noun	A1.1	
hora	hour, time	noun	A1.1	time
hospital	hospital	noun	A1.1	health|work
hoy	today	adv	A1.1	time
huevos	eggs	noun	A1.1	food
igualmente	likewise	adv	A1.1	
importante	important	adj	A1.1	education
ingeniero	engineer	noun	A1.1	education
Inglaterra	England	noun	A1.1	countries
inglesa	English - nationality	noun	A1.1	
inglés	English - language, English	pron	A1.1	countries
interesante	interesting	adj	A1.1	education|media|travel
internet	internet	noun	A1.1	tech
ir	to go	verb	A1.1	media|travel
Italia	Italy	noun	A1.1	countries
italiana	Italian - nationality	noun	A1.1	
italiano	Italian - language, Italian	pron	A1.1	countries
izquierda	left	adv	A1.1	
japonés	Japanese	pron	A1.1	countries
Japón	Japan	noun	A1.1	countries
jardín	garden	noun	A1.1	home|nature
jefe	boss	noun	A1.1	education|work
joven	young	adj	A1.1	health
juego	game	noun	A1.1	media
jueves	Thursday	noun	A1.1	time
jugar	to play	verb	A1.1	media
jugo	juice	noun	A1.1	food
julio	July	noun	A1.1	
junio	June	noun	A1.1	
la	the - feminine, the (feminine), her, it (feminine)	det	A1.1	
largo	long	adj	A1.1	travel
las	the - feminine plural, the (feminine plural), them (feminine)	det	A1.1	
lavar	to wash	verb	A1.1	food|home
le	to him, to her	pron	A1.1	
leche	milk	noun	A1.1	food
leer	to read	verb	A1.1	education|media
lejos	far	adv	A1.1	
lentamente	slowly	adv	A1.1	health|travel
lento	slowly, slow	adj	A1.1	food|tech|time|travel
les	to them	pron	A1.1	
levantarse	to get up	verb	A1.1	home|reflexive
libro	book	noun	A1.1	education|media
limpiar	to clean	verb	A1.1	home
limpio	clean	adj	A1.1	home
llamarse	to be called, to be named	verb	A1.1	reflexive
llegar	to arrive	verb	A1.1	food|time|travel
llover	to rain	verb	A1.1	nature
lluvioso	rainy	adj	A1.1	nature
lo siento	I'm sorry	phrase	A1.1	MWU|glue
los	the - masculine plural, the (masculine plural), them (masculine), which (plural)	det	A1.1	philosophy
lugar	place	verb	A1.1	
lunes	Monday	noun	A1.1	time
lápiz	pencil	noun	A1.1	education
madre	mother	noun	A1.1	society
madrugada	early morning, dawn	adv	A1.1	time
maestro	teacher	noun	A1.1	education
mal	badly, bad, poorly	adj	A1.1	society
mala	bad	adj	A1.1	
maleta	suitcase	noun	A1.1	travel
malo	bad	adj	A1.1	education|food
mamá	mom	noun	A1.1	society
manejar	to drive	verb	A1.1	travel
manzana	apple	noun	A1.1	food
martes	Tuesday	noun	A1.1	time
marzo	March	noun	A1.1	
mayo	May	noun	A1.1	
mañana	tomorrow	adv	A1.1	time
mañana	morning	noun	A1.1	time
medianoche	midnight	noun	A1.1	time
mediodía	noon	noun	A1.1	time
menos	less	verb	A1.1	comparison
mes	month	noun	A1.1	time
mesa	table	noun	A1.1	education|food|home
mesero	waiter, waitress	noun	A1.1	education|food
metro	subway	noun	A1.1	travel
mexicano	Mexican	pron	A1.1	countries
mi	my	pron	A1.1	
minuto	minute	noun	A1.1	time
mirar	to look, to watch	verb	A1.1	media
miércoles	Wednesday	noun	A1.1	time
momento	moment	noun	A1.1	time
morado	purple	adj	A1.1	colors
muchas gracias	thank you very much	phrase	A1.1	MWU|comparison
mucho	a lot, much	verb	A1.1	food
mucho gusto	nice to meet you	phrase	A1.1	MWU|work
mujer	woman	verb	A1.1	
muy	very	verb	A1.1	
más	more	verb	A1.1	comparison
más o menos	more or less, so-so	phrase	A1.1	MWU|comparison|glue|society
médica	doctor	noun	A1.1	
México	Mexico	noun	A1.1	countries
música	music	noun	A1.1	education|media
nacer	to be born	verb	A1.1	countries
naranja	orange	adj	A1.1	colors
naranja	orange	noun	A1.1	food
negra	black	noun	A1.1	
negro	black	adj	A1.1	colors
nevar	to snow	verb	A1.1	nature|time
niña	girl	noun	A1.1	
niño	boy, child	noun	A1.1	society
no	no, not	verb	A1.1	
noche	night	noun	A1.1	time
nombre	name	noun	A1.1	
normalmente	normally	adv	A1.1	media|time
nos vemos	see you	phrase	A1.1	MWU|society
nosotras	we	pron	A1.1	
nosotros	we, us (after preposition)	pron	A1.1	time
noventa	ninety	num	A1.1	
noviembre	November	noun	A1.1	
novio	boyfriend, girlfriend	noun	A1.1	society
nublado	cloudy	adj	A1.1	nature
nuestra	our	noun	A1.1	
nuestro	our	det	A1.1	
nueva	new	adj	A1.1	
nueve	nine	num	A1.1	
nuevo	new	adj	A1.1	tech
nunca	never	adv	A1.1	time
número	number	noun	A1.1	
o	or	conj	A1.1	glue
ochenta	eighty	num	A1.1	
ocho	eight	num	A1.1	
octubre	October	noun	A1.1	
odiar	to hate	verb	A1.1	health
oficina	office	noun	A1.1	education|work
ojos	eyes	noun	A1.1	health
once	eleven	num	A1.1	
padre	father	noun	A1.1	society
pagar	to pay	verb	A1.1	food
pan	bread	noun	A1.1	food
papá	dad	noun	A1.1	society
para	for, to	prep	A1.1	glue
parecer	to seem, to appear	verb	A1.1	colors
parque	park	noun	A1.1	nature
partir	to depart	verb	A1.1	travel
pasaporte	passport	noun	A1.1	travel
pasar	to spend (time), to pass	verb	A1.1	time
país	country	noun	A1.1	countries|society|travel
pelo	hair	noun	A1.1	health
película	movie, film	noun	A1.1	media
pequeña	small	adj	A1.1	
pequeño	small, little	adj	A1.1	home
perderse	to get lost	verb	A1.1	reflexive
perdón	excuse me, sorry, pardon, forgiveness	interj	A1.1	health|society
pero	but	conj	A1.1	discourse|glue
perro	dog	noun	A1.1	
persona	person	noun	A1.1	
pescado	fish	noun	A1.1	food|nature
piano	piano	noun	A1.1	media
pizza	pizza	noun	A1.1	food
pluma	pen	noun	A1.1	education
plátano	banana	noun	A1.1	food
poco	a little, little, few	verb	A1.1	food
poder	to be able to, can, power	verb	A1.1	society|work
por	by, for, through	prep	A1.1	glue
por favor	please	interj	A1.1	MWU|society
por qué	why	phrase	A1.1	MWU
porque	because	conj	A1.1	discourse|glue
preguntar	to ask	verb	A1.1	society
primo	cousin	noun	A1.1	society
privado	private	adj	A1.1	society
profesor	teacher, professor	noun	A1.1	education
profesora	teacher	noun	A1.1	education
pueblo	town, people	noun	A1.1	society
puerta	door	noun	A1.1	home
puntual	punctual	adj	A1.1	time|work
público	public, audience	adj	A1.1	society
