spanish	english	pos	cefr	tags
irse	to leave	verb	A1.2	
tener que ver	to have to do with	verb	B2.2	
tan	such, as, too, so		A1.1	
aquí, acá	here		B2.2	
oro	gold		A1.2	
vez	time (specific occurrence)	noun	A1.1	
gente	people	noun	A1.1	
coche	car, carriage		A1.1	
cosa	thing	noun	A1.1	
seguir	to follow, keep on	verb	A1.2	
edificio	building	noun	A1.2	
cuál	which?	pron	A1.1	
morir	to die	verb	A1.1	
tanto	so much, so many, as much as	adv	A1.1	
dejar	to let, leave	verb	A1.1	
aquel	that (over there)	det	A1.2	
rey	king		A1.2	
tratar	to try, to treat	verb	A1.2	
tratarse de	to be about	verb	B2.2	
suelo	ground, floor		A1.2	
paso	step, pace	noun	A1.2	
hueso	bone		A2.2	
romper	to break	verb	A2.1	
quedar	to remain, stay, be	verb	A1.2	
cualquier	any, anyone (PRON)	verb	A1.1	
suceder	to happen	verb	A2.1	
lado	side	noun	A1.1	
sólo	only, just	adv	A1.1	
piedra	stone, rock		A2.1	
propio	own, proper, typical	det	A1.2	
oscuro	dark, obscure		A2.1	
marido	husband		A1.2	
casar	to marry	verb	A2.1	
mismo	1. self ('himself', 'herself') 2. same	det	A1.1	
cambiar	to change	verb	A1.2	
luz	light	noun	A1.2	
meter	to put (into)	verb	A2.1	
caja	bank, box, safe		A1.2	
levantar	to raise, lift	verb	A2.2	
pesar	to weigh	noun	A1.2	
pobre	poor		A1.2	
junto	together with, next to / (f) junta: meeting, conference, seam	adj	A1.2	
profundo	deep, profound		A2.1	
compartir	to share	verb	A2.1	
montar	to ride, mount, assemble	verb	A2.2	
sonar	to sound, ring out	verb	A2.2	
ruido	noise		A2.1	
a menudo	often		B2.2	
pelota	ball		A2.1	
lindo	pretty, nice, lovely		A1.2	
último	last, final	adj	A1.2	
próximo	next	adj	A1.2	
respuesta	answer, reply	noun	A1.2	
elegir	to choose, elect	verb	A2.1	
lleno	full, filled		A1.2	
acordar	(acordarse de) to remember, remind / to agree	verb	B1.2	
vuelta	return, turn		A1.1	
siquiera	even (if)		A1.1	
recoger	to pick up	verb	A2.1	
corazón	heart, core	noun	A1.1	
quitar	to remove, take away	verb	A2.2	
cubrir	to cover	verb	A2.2	
sentar	to sit (down), seat	verb	B1.1	
suerte	luck, fortune		A1.1	
cruzar	to cross	verb	A2.2	
fecha	date, day	noun	A2.1	
tesoro	treasure, thesaurus		A2.1	
tirar	to throw, pull	verb	A2.1	
conducir	to lead, drive	verb	A2.1	
firmar	to sign	verb	A2.1	
hoja	sheet, leaf		A2.2	
hallar	to find (out)	verb	A2.2	
quinto	fifth		A2.2	
sombra	shade, shadow		A2.1	
rendir	to give in, give up / to render, yield	verb	B1.2	
salón	hall, room		A2.1	
traje	suit, dress, costume	noun	A1.2	
tela	cloth, fabric		B1.1	
borde	edge		A2.2	
joya	jewel, treasure		B1.1	
roto	broken, torn		A2.1	
agotar	to exhaust, wear out, run out	verb	B2.2	
hombro	shoulder		A2.2	
zapato	shoe		A2.2	
montón	lot of, heap, pile		A1.2	
mueble	(piece of) furniture		B2.1	
pista	clue, track, trace		A1.2	
huella	trace, track, footstep		A2.2	
vidrio	glass, pane		A2.2	
valioso	valuable, precious		A2.2	
fumar	to smoke	verb	A2.1	
lamentar	to regret	verb	B1.2	
semilla	seed		B1.1	
sordo	deaf, dull		B1.1	
casco	helmet		A2.2	
lana	wool / money		A2.2	
hace	ago	adv	A1.1	
manera	way, manner	noun	A1.1	
contar	to tell, count / (contar con) to count on	verb	A1.2	
tipo	type, kind / guy, dude	noun	A1.1	
medio	means, middle / por medio de: by means of	noun	A1.2	
modo	way, manner	noun	A1.2	
mil	thousand	num	A1.2	
sacar	to take out	verb	A1.2	
acabar	to finish / acabar de (+VERB): to have just done	verb	A1.2	
siglo	century, age	noun	A2.1	
siguiente	following, next	adj	A1.2	
demás	the rest, others		A1.2	
valer	to be worth, cost	verb	B1.1	
fijar	to set, fix / to notice	verb	B1.2	
muerte	death	noun	A1.1	
abierto	open, unlocked	adj	A2.1	
echar	to throw out / echar a (+VERB): to start	verb	A2.1	
atrás	back, behind, ago		A1.1	
ambos	both	num	A1.2	
señalar	to point (out), signal	verb	B1.2	
reunir	to gather, meet, collect	verb	A2.2	
supuesto	supposed / por supuesto: of course	noun	A1.1	
adelante	forward, further	adv	A1.1	
asunto	matter, issue, affair	noun	A1.2	
mandar	to send, order	verb	A2.2	
andar	to walk / to go around / andar (+VERB): to do	verb	A2.1	
surgir	to appear, spring forth	verb	B2.1	
matar	to kill	verb	A1.2	
colocar	to place, position	verb	B1.1	
aumentar	to increase	verb	B1.1	
pertenecer	to belong	verb	B1.2	
disponer	to have means / to dispose	verb	B2.1	
sitio	place, space	noun	A1.2	
actual	current	adj	A2.2	
pleno	complete, full	adj	B1.1	
ambiente	environment, atmosphere	noun	A2.2	
dispuesto	willing, ready		A2.1	
caber	to fit (into)	verb	B2.2	
tender	lay out / to hang / to set	verb	B2.2	
voluntad	will, willpower, intention	noun	A2.1	
cargar	to load (up), carry, charge	verb	A2.2	
puesto	job, place, position	noun	A1.2	
prestar	to lend	verb	B1.1	
jamás	never		A1.2	
cargo	position, charge, fee	noun	A1.2	
terreno	ground, earth, terrain	noun	A2.2	
recorrer	to travel, cover (distance)	verb	B1.1	
retirar	to take away, retire	verb	B1.1	
permanecer	to stay, remain	verb	A2.1	
arma	weapon	noun	A1.2	
encuentro	meeting, game, skirmish	noun	A1.2	
enfrentar	to confront, face	verb	A2.2	
etapa	stage, period	noun	A2.2	
atravesar	to cross	verb	B1.1	
destacar	to emphasize, stand out	verb	B2.2	
convenir	to be agreeable / be convenient	verb	B2.2	
alumno	student, pupil	noun	B1.1	
madera	wood		A2.1	
parar	to stop (moving)	verb	A1.2	
ejercer	to practice, exercise	verb	B1.2	
poseer	to possess, own	verb	B1.2	
cobrar	to charge (money)	verb	A2.2	
semejante	similar, such, alike		A2.2	
acudir	to attend, go to, frequent	verb	B1.1	
encargar	to entrust / to take charge of	verb	B1.2	
fijo	fixed, steady		B1.1	
sur	south		A1.2	
venta	sale	noun	A2.1	
alcance	reach, scope		A2.2	
dueño	owner, landlord (m)		A2.1	
perseguir	to persecute, pursue, chase	verb	B1.1	
escaso	scarce, very little		B2.1	
someter	to subject / to undergo	verb	B2.2	
acontecimiento	event, happening		B1.2	
arrastrar	to drag, pull	verb	B1.2	
alimento	food, nourishment	noun	B1.1	
barrio	neighborhood, district	noun	A2.1	
temor	fear		A2.2	
rama	branch, bough, limb		B1.1	
repartir	to divide, deliver, distribute	verb	B1.2	
partida	game, match, departure		A2.2	
rodear	to surround	verb	B2.2	
ajeno	belonging to someone else / detached		B2.1	
gana	desire		A2.1	
consejo	advice, counsel, tip		A1.2	
marchar	to go, leave, march	verb	A2.2	
ejército	army		A1.2	
trasladar	to move, transfer	verb	B2.1	
ventaja	advantage, benefit		A2.1	
figurar	to appear, represent, figure (in)	verb	B2.2	
cadena	chain		A2.1	
ánimo	zest, spirit, heart / (tener ánimo): to be in the mood		A2.2	
arrancar	to start (machine) / to rip away / to have an outburst	verb	B1.1	
molestar	to bother, disturb, upset	verb	A2.2	
atrever	to dare	verb	B2.2	
plata	silver, money		A2.1	
ceder	to give way, yield	verb	B1.1	
pendiente	(adj) pending / (n) suitor		A2.2	
conceder	to grant, concede	verb	B2.1	
arreglar	to fix, arrange	verb	A2.1	
rueda	wheel		A2.2	
rasgo	feature, trait		B2.1	
apuntar	to point, note, aim	verb	B1.1	
liberar	to free, liberate	verb	A2.2	
añadir	to add	verb	B1.1	
girar	to rotate, revolve	verb	A2.2	
remedio	alternative, cure, solution		A2.2	
encantar	to love (literal: to enchant)2) to charm	verb	B1.1	
cotidiano	daily		B2.2	
nuevamente	anew, again	adv	A2.2	
listo	ready, clever, smart		A1.1	
