Word	Definition
irse	to leave
tener que ver	to have to do with
tan	such, as, too, so
aquí, acá	here
oro	gold
vez	time (specific occurrence)
gente	people
coche	car, carriage
cosa	thing
seguir	to follow, keep on
edificio	building
cuál	which?
morir	to die
tanto	so much, so many, as much as
dejar	to let, leave
aquel	that (over there)
rey	king
tratar	to try, to treat
tratarse de	to be about
suelo	ground, floor
paso	step, pace
hueso	bone
romper	to break
quedar	to remain, stay, be
cualquier	any, anyone (PRON)
suceder	to happen
lado	side
sólo	only, just
piedra	stone, rock
propio	own, proper, typical
oscuro	dark, obscure
marido	husband
casar	to marry
mismo	1. self ('himself', 'herself') 2. same
cambiar	to change
luz	light
meter	to put (into)
caja	bank, box, safe
levantar	to raise, lift
pesar	to weigh
pobre	poor
junto	together with, next to / (f) junta: meeting, conference, seam
profundo	deep, profound
compartir	to share
montar	to ride, mount, assemble
sonar	to sound, ring out
ruido	noise
a menudo	often
pelota	ball
lindo	pretty, nice, lovely
último	last, final
próximo	next
respuesta	answer, reply
elegir	to choose, elect
lleno	full, filled
acordar	(acordarse de) to remember, remind / to agree
vuelta	return, turn
siquiera	even (if)
recoger	to pick up
corazón	heart, core
quitar	to remove, take away
cubrir	to cover
sentar	to sit (down), seat
suerte	luck, fortune
cruzar	to cross
fecha	date, day
tesoro	treasure, thesaurus
tirar	to throw, pull
conducir	to lead, drive
firmar	to sign
hoja	sheet, leaf
hallar	to find (out)
quinto	fifth
sombra	shade, shadow
rendir	to give in, give up / to render, yield
salón	hall, room
traje	suit, dress, costume
tela	cloth, fabric
borde	edge
joya	jewel, treasure
roto	broken, torn
agotar	to exhaust, wear out, run out
hombro	shoulder
zapato	shoe
montón	lot of, heap, pile
mueble	(piece of) furniture
pista	clue, track, trace
huella	trace, track, footstep
vidrio	glass, pane
valioso	valuable, precious
fumar	to smoke
lamentar	to regret
semilla	seed
sordo	deaf, dull
casco	helmet
lana	wool / money
hace	ago
manera	way, manner
