word	definition	pos
a	to	preposition
abierto	open	adjective
abril	April	noun
abrir	to open	verb
acabar	to finish	verb
académico	academic	adjective
acceder	to access	verb
acceso	access	noun
acción	action	noun
aceptar	to accept	verb
acompañar	to accompany	verb
actividad	activity	noun
activo	active	adjective
acto	act	noun
actual	current	adjective
actualmente	currently	adverb
acudir	to go	verb
acuerdo	agreement	noun
adecuado	appropriate	adjective
adelante	forward	adverb
además	also, besides	adverb
administración	administration	noun
administrativo	administrative	adjective
adquirir	to acquire	verb
adulto	adult	noun
advertir	to warn	verb
afectado	affected	adjective
afectar	to affect	verb
afirmar	to affirm	verb
agente	agent	noun
agosto	August	noun
agradecer	to thank	verb
agregar	to add	verb
agua	water	noun
ahí	there	adverb
ahora	now	adverb
aire	air	noun
al	to	preposition
alcalde	mayor	noun
alcanzar	reach	verb
algo	something	pronoun
alguien	someone	pronoun
alguno	some	determiner
alimento	food	noun
allá	there	adverb
allí	there	adverb
alrededor	around	adverb
alto	tall	adjective
alumno	pupil	noun
ambiente	environment	noun
ámbito	scope	noun
ambos	both	numeral
América	America	proper noun
amigo	friend	noun
amor	love	noun
amplio	large	adjective
añadir	to add	verb
análisis	analysis	noun
analizar	to analyze	verb
animal	animal	noun
año	year	noun
ante	before	preposition
anterior	previous	adjective
antes	before	adverb
Antonio	Anthony	proper noun
anunciar	to announce	verb
anuncio	advertisement	noun
aparecer	to appear	verb
apenas	barely	adverb
aplicación	application	noun
aplicar	to apply	verb
aportar	to contribute	verb
apoyar	to support	verb
apoyo	support	noun
aprender	to learn	verb
aprobar	to approve	verb
aprovechar	to take advantage of	verb
apuntar	to point	verb
aquel	that	determiner
aquí	here	adverb
área	area	noun
Argentina	Argentina	proper noun
arma	weapon	noun
artículo	article	noun
artista	artist	noun
asegurar	to secure	verb
así	thus	adverb
asimismo	likewise	adverb
asistir	to attend	verb
aspecto	appearance	noun
asumir	to assume	verb
asunto	affair	noun
ataque	attack	noun
atención	attention	noun
atender	to attend to	verb
aumentar	to increase	verb
aumento	increase	noun
aún	yet	adverb
aunque	though	conjunction
auto	car	noun
autor	author	noun
autoridad	authority	noun
avance	advance	noun
avanzar	to advance	verb
ayer	yesterday	adverb
ayuda	assistance	noun
ayudar	to help	verb
bajar	to go down	verb
bajo	low	preposition
barrio	neighborhood	noun
base	base	noun
básico	basic	adjective
bastante	quite	adverb
beneficio	benefit	noun
bien	well	adverb
blanco	white	adjective
brindar	to offer	verb
buen	good	adjective
bueno	good	adjective
buscar	to search	verb
búsqueda	search	noun
caber	to fit	verb
cabeza	head	noun
cabo	end, extremity	noun
cada	each	determiner
caer	to fall	verb
calidad	quality	noun
calle	street	noun
cambiar	to change	verb
cambio	change	noun
camino	road	noun
campaña	campaign	noun
campo	countryside	noun
candidato	candidate	noun
cantidad	amount	noun
capacidad	ability	noun
capaz	capable	adjective
capital	capital	noun
cara	face	noun
característica	characteristic	noun
cargo	position	noun
Carlos	Charles	proper noun
carrera	career	noun
casa	house	noun
casi	almost	adverb
caso	case	noun
categoría	category	noun
causa	cause	noun
causar	to cause	verb
celebrar	to celebrate	verb
central	central	adjective
centro	center	noun
cerca	close	adverb
cercano	near	adjective
cerrar	to close	verb
China	China	proper noun
ciencia	science	noun
científico	scientific	adjective
ciento	hundred	numeral
cierre	closing	noun
cierto	true, specific	determiner
cifra	number	noun
cinco	five	numeral
ciudad	city	noun
ciudadano	citizen	noun
civil	civil	adjective
claro	clear	adjective
clase	class	noun
clave	key	noun
cliente	client	noun
club	club	noun
colaboración	collaboration	noun
colectivo	collective	adjective
color	color	noun
comentar	to comment	verb
comentario	comment	noun
comenzar	to begin	verb
comercial	commercial	adjective
comercio	trade	noun
comida	food	noun
comisión	commission	noun
como	as	conjunction
cómo	how	pronoun
compañero	companion	noun
compañía	company	noun
compartir	to share	verb
competencia	competition	noun
completo	complete	adjective
compra	purchase	noun
comprar	to buy	verb
compromiso	commitment	noun
común	common	adjective
comunicación	communication	noun
comunicado	a statement, a press release	noun
comunidad	community	noun
con	with	preposition
concepto	concept	noun
concluir	to conclude	verb
condición	condition	noun
conferencia	conference	noun
confianza	confidence	noun
confirmar	to confirm	verb
conjunto	group, set	noun
conocer	to know	verb
conocido	known	adjective
conocimiento	knowledge	noun
consecuencia	consequence	noun
conseguir	to get	verb
considerar	to consider	verb
construcción	construction	noun
construir	to build	verb
consulta	consultation	noun
consumo	consumption	noun
contacto	contact	noun
contar	to count	verb
contener	to contain	verb
contenido	content	noun
contexto	context	noun
continuar	to continue	verb
contra	against	preposition
contrario	the contrary, the opposite	noun
contrato	contract	noun
contribuir	to contribute	verb
control	control	noun
convertir	to convert	verb
corazón	heart	noun
correo	mail	noun
corresponder	to correspond to	verb
correspondiente	corresponding	adjective
cosa	thing	noun
costo	cost	noun
creación	creation	noun
crear	to create	verb
crecer	to grow	verb
crecimiento	growth	noun
crédito	credit	noun
creer	to believe	verb
crisis	crisis	noun
Cruz	cross	proper noun
cual	which	pronoun
cuál	which	pronoun
cualquiera	any	determiner
cuando	when	conjunction
cuanto	how much	noun
cuarto	fourth	adjective
cuatro	four	numeral
cubrir	to cover	verb
cuenta	account	noun
cuerpo	body	noun
cuestión	question	noun
cuidado	care	noun
cultura	culture	noun
cultural	cultural	adjective
cumplir	to fulfill, to meet	verb
curso	course	noun
cuyo	whose	pronoun
daño	damage	noun
dar	to give	verb
dato	data	noun
de	of	preposition
deber	to have to	verb
debido	due	adjective
década	decade	noun
decidir	to decide	verb
decir	to tell	verb
decisión	decision	noun
declaración	statement	noun
declarar	to declare	verb
defender	to defend	verb
definir	to define	verb
dejar	to leave	verb
del	from	preposition
delito	crime	noun
demanda	demand	noun
demostrar	to show	verb
dentro	inside	adverb
dentro	complaint	noun
denunciar	to denounce	verb
departamento	department	noun
dependencia	dependence	noun
depender	to depend	verb
deportivo	sports	adjective
derecho	law	noun
desarrollar	to develop	verb
desarrollo	development	noun
descubrir	to discover	verb
desde	since	preposition
desear	to want	verb
después	afterwards	adverb
destacar	to highlight, to emphasize	verb
destino	destiny	noun
detallar	to detail	verb
detalle	detail	noun
detectar	to detect	verb
detener	to stop	verb
determinar	to determine	verb
día	day	noun
diario	daily	adjective
dicho	said	adjective
diciembre	December	noun
diez	ten	numeral
diferencia	difference	noun
diferente	different	adjective
difícil	hard	adjective
digital	digital	adjective
dinero	money	noun
Dios	God	proper noun
diputado	deputy	noun
dirección	address	noun
directo	straight	adjective
director	director	noun
dirigido	directed	adjective
dirigir	to direct	verb
diseño	design	noun
disfrutar	to enjoy	verb
disponer	to prepare	verb
disponible	available	adjective
disposición	tendency, layout	noun
dispositivo	device	noun
distancia	distance	noun
distinto	different	determiner
diverso	miscellaneous	determiner
docente	teacher, lecturer	noun
documento	document	noun
